ID,Street_Address,City,Country,Unit,Type,Parent,Latitude,Longitude
1,ulica Widok,Warsaw,RP,60,Main Node,,52.266908029790834,21.00176692581363
2,aleja Klasztorna,Warsaw,RP,124,Main Node,,52.26410967826448,21.037133803653944
3,al. Sarnia,Warsaw,RP,345,Main Node,,52.29947572864069,21.195013423023802
4,aleja Wilcza,Warsaw,RP,21,Main Node,,52.21373121715134,21.18814435224978
5,plac Mickiewicza,Warsaw,RP,732,Main Node,,52.29180960393284,21.005469210454716
6,ul. Mazurska,Warsaw,RP,7,Main Node,,52.28600839038156,21.142899003318334
7,ul. Gałczynskiego,Warsaw,RP,39,Main Node,,52.259895646722256,21.11924605499753
8,ulica Lawendowa,Warsaw,RP,857,Main Node,,52.20994418238521,21.170382224863967
9,ulica Nowa,Warsaw,RP,36,Main Node,,52.26303176927778,21.069659718724363
10,ul. Srebrna,Warsaw,RP,6,Main Node,,52.28553234943387,21.06902357158136
11,ulica Orkana,Warsaw,RP,602,Main Node,,52.21509925663378,21.160119683251402
12,aleja Jesienna,Warsaw,RP,500,Main Node,,52.2064261407836,21.07176176404817
13,ulica Przechodnia,Warsaw,RP,5,Main Node,,52.208405816572444,20.95862348813109
14,ulica Podwale,Warsaw,RP,33,Main Node,,52.225826159602505,21.062678568986186
15,pl. Miarki,Warsaw,RP,38,Main Node,,52.216562553090604,21.03009411889515
16,plac Słowianska,Warsaw,RP,933,Main Node,,52.23883099174683,21.078596110776523
17,plac Wybickiego,Warsaw,RP,42,Main Node,,52.281986479943356,21.062563827125988
18,ulica Leszczynowa,Warsaw,RP,93,Main Node,,52.23096132260631,20.93725307807617
19,plac Górska,Warsaw,RP,81,Main Node,,52.23351682584396,21.05840024148271
20,al. Mostowa,Warsaw,RP,27,Main Node,,52.25062314823562,21.096540918934334
21,ul. Storczykowa,Warsaw,RP,60,Main Node,,52.276999278476794,21.108666809406323
22,aleja Szewska,Warsaw,RP,86,Main Node,,52.218967841819726,21.051549595142482
23,aleja Szczęśliwa,Warsaw,RP,211,Main Node,,52.249363999242966,21.068224177752953
24,ul. Szczęśliwa,Warsaw,RP,11,Main Node,,52.27403294026856,21.198346458488366
25,plac Kwiatowa,Warsaw,RP,24,Main Node,,52.28160594345947,21.185626126438184
26,ul. Srebrna,Warsaw,RP,712,Main Node,,52.25174440051572,21.199508466566662
27,pl. Łąkowa,Warsaw,RP,844,Main Node,,52.2335017418641,20.917178049525244
28,aleja Piwna,Warsaw,RP,99,Main Node,,52.240924227405294,21.083213280428858
29,ulica Piekarska,Warsaw,RP,59,Main Node,,52.27916511480117,21.01624916723059
30,ul. Makowa,Warsaw,RP,34,Main Node,,52.26803271313289,21.108029145420254
31,pl. Pałacowa,Warsaw,RP,585,Main Node,,52.20074607985764,21.15975781858518
32,ulica Partyzantów,Warsaw,RP,997,Main Node,,52.27853277177648,21.073999791391422
33,plac Wyzwolenia,Warsaw,RP,16,Main Node,,52.29217763104631,21.04185917278342
34,plac Średnia,Warsaw,RP,896,Main Node,,52.283285254038354,21.16999576748859
35,pl. Zdrojowa,Warsaw,RP,17,Main Node,,52.22053440270564,21.16255684954009
36,ulica Narcyzowa,Warsaw,RP,61,Main Node,,52.25814340252228,20.947530197827554
37,aleja Stroma,Warsaw,RP,16,Main Node,,52.28337372292663,21.148136449895926
38,plac Orla,Warsaw,RP,80,Main Node,,52.27648202167313,21.029808799822085
39,ul. Dworcowa,Warsaw,RP,935,Main Node,,52.26400018023298,20.997943734477335
40,al. Ptasia,Warsaw,RP,83,Main Node,,52.25648194733404,21.003690918662368
41,aleja Górna,Warsaw,RP,36,Main Node,,52.23555187101581,20.930110415686418
42,al. Maczka,Warsaw,RP,35,Main Node,,52.28022673710498,20.985853022796135
43,plac Topolowa,Warsaw,RP,229,Main Node,,52.27182268309887,20.907953919301853
44,ulica Lotnicza,Warsaw,RP,95,Main Node,,52.20279194890544,20.958840035294642
45,ulica Zdrojowa,Warsaw,RP,14,Main Node,,52.268651565264044,20.96298429008509
46,plac Irysowa,Warsaw,RP,84,Main Node,,52.24272227436943,21.07222368473917
47,ul. Leszczynowa,Warsaw,RP,212,Main Node,,52.28861312019912,21.106083229690572
48,pl. Kruczkowskiego,Warsaw,RP,63,Main Node,,52.24984738642368,20.917229673670743
49,aleja Mokra,Warsaw,RP,9,Main Node,,52.25114377529677,20.96095830727279
50,aleja Jaworowa,Warsaw,RP,47,Main Node,,52.22364908892844,21.176197673591968
51,al. Rolna,Warsaw,RP,139,Main Node,,52.26432054741291,21.10847687512123
52,al. Armii Krajowej,Warsaw,RP,90,Main Node,,52.20879973644394,21.184258513817106
53,aleja Makuszyńskiego,Warsaw,RP,74,Main Node,,52.222363106172075,20.967484129975666
54,al. Wiązowa,Warsaw,RP,141,Main Node,,52.22536620682036,21.110905208865532
55,ulica Głogowa,Warsaw,RP,187,Main Node,,52.2112087202624,21.1904625804244
56,plac Daleka,Warsaw,RP,483,Main Node,,52.29594753605468,21.02092559915713
57,ulica Rolnicza,Warsaw,RP,31,Main Node,,52.22500514497519,21.152627836915435
58,pl. Floriana,Warsaw,RP,21,Main Node,,52.29313222362296,21.071791164914487
59,plac Przemysłowa,Warsaw,RP,556,Main Node,,52.214430623196904,20.963849815175664
60,pl. Starowiejska,Warsaw,RP,62,Main Node,,52.29878296799046,21.09516682596796
61,ulica Truskawkowa,Warsaw,RP,68,Main Node,,52.28275459649664,20.996012644565457
62,plac Maczka,Warsaw,RP,402,Main Node,,52.25487518165385,20.953510984427048
63,aleja Wyszyńskiego,Warsaw,RP,9,Main Node,,52.25587353107111,21.076768801065647
64,al. Jadwigi,Warsaw,RP,123,Main Node,,52.22903859581247,20.995567742010586
65,ul. Miłosza,Warsaw,RP,91,Main Node,,52.255210569811496,21.182090703884914
66,aleja Czarnieckiego,Warsaw,RP,872,Main Node,,52.272906644299866,21.075605487332393
67,aleja Sikorskiego,Warsaw,RP,828,Main Node,,52.29317276310222,21.1617325478443
68,aleja Długa,Warsaw,RP,20,Main Node,,52.25360128690936,21.10749657277903
69,ulica Pszenna,Warsaw,RP,89,Main Node,,52.28006070656649,20.919934000861954
70,aleja Cegielniana,Warsaw,RP,20,Main Node,,52.21192966774499,20.992388558787823
71,aleja Narcyzowa,Warsaw,RP,59,Main Node,,52.24862030123111,20.973633527642505
72,pl. Malczewskiego,Warsaw,RP,11,Main Node,,52.22752850545865,21.16936794985905
73,al. Nowa,Warsaw,RP,74,Main Node,,52.20078110655635,21.01931684461752
74,ulica Zwycięstwa,Warsaw,RP,73,Main Node,,52.21172808093561,21.108033859469884
75,pl. Dolna,Warsaw,RP,33,Main Node,,52.24810461149989,21.004224018834513
76,aleja Podgórna,Warsaw,RP,105,Main Node,,52.23380649771753,21.01605835825704
77,ulica Wysoka,Warsaw,RP,53,Main Node,,52.26782175665077,20.978318657708357
78,ulica Rajska,Warsaw,RP,76,Main Node,,52.292331487428854,21.059939581884827
79,pl. Kolonia,Warsaw,RP,581,Main Node,,52.21423749595489,21.129759493545247
80,ulica Kazimierza Wielkiego,Warsaw,RP,78,Main Node,,52.261359548924105,21.12546615913535
81,ul. Żeromskiego,Warsaw,RP,482,Main Node,,52.230965792492775,21.041341995875893
82,pl. Makuszyńskiego,Warsaw,RP,12,Main Node,,52.22832206303556,20.95495998962022
83,plac Jana,Warsaw,RP,747,Main Node,,52.26264528690374,21.09193129950864
84,aleja Słonecznikowa,Warsaw,RP,928,Main Node,,52.29930893643811,21.098013500334137
85,ul. Miłosza,Warsaw,RP,94,Main Node,,52.21614431925599,21.034099424542983
86,al. Szeroka,Warsaw,RP,849,Main Node,,52.28828437253163,20.96530758068953
87,plac Grunwaldzka,Warsaw,RP,39,Main Node,,52.20243326640173,21.1890973407246
88,al. Dojazdowa,Warsaw,RP,772,Main Node,,52.28837856447942,21.083098471732246
89,ulica Królewska,Warsaw,RP,300,Main Node,,52.28085010521947,21.171980477835998
90,ulica Cedrowa,Warsaw,RP,14,Main Node,,52.29634673398625,21.133204420667365
91,ulica Traugutta,Warsaw,RP,92,Main Node,,52.24875193992875,20.954717661088793
92,ulica Okulickiego,Warsaw,RP,59,Main Node,,52.261493989290784,21.18730167497489
93,al. Matejki,Warsaw,RP,741,Main Node,,52.299070371437885,20.915713560133526
94,al. Ludowa,Warsaw,RP,376,Main Node,,52.28232138145475,20.921720418245844
95,al. Kosynierów,Warsaw,RP,843,Main Node,,52.27629940653046,20.96088987889883
96,ul. Kochanowskiego,Warsaw,RP,60,Main Node,,52.24085975615965,21.187046205933083
97,aleja Armii Krajowej,Warsaw,RP,830,Main Node,,52.220393992644055,21.14675567028517
98,ulica Górska,Warsaw,RP,43,Main Node,,52.22779655159722,20.93897925492464
99,ul. Witosa,Warsaw,RP,68,Main Node,,52.263311621520245,21.019650024743292
