ID,Street_Address,City,Country,Unit,Type,Parent
1-1,ulica Widok,Warsaw,RP,45,Unit,1
1-2,ulica Widok,Warsaw,RP,40,Unit,1
1-3,ulica Widok,Warsaw,RP,64,Unit,1
1-4,ulica Widok,Warsaw,RP,44,Unit,1
2-1,aleja Klasztorna,Warsaw,RP,142,Unit,2
2-2,aleja Klasztorna,Warsaw,RP,132,Unit,2
2-3,aleja Klasztorna,Warsaw,RP,128,Unit,2
2-4,aleja Klasztorna,Warsaw,RP,142,Unit,2
3-1,al. Sarnia,Warsaw,RP,341,Unit,3
3-2,al. Sarnia,Warsaw,RP,342,Unit,3
4-1,aleja Wilcza,Warsaw,RP,2,Unit,4
4-2,aleja Wilcza,Warsaw,RP,28,Unit,4
4-3,aleja Wilcza,Warsaw,RP,19,Unit,4
4-4,aleja Wilcza,Warsaw,RP,18,Unit,4
5-1,plac Mickiewicza,Warsaw,RP,726,Unit,5
6-1,ul. Mazurska,Warsaw,RP,19,Unit,6
6-2,ul. Mazurska,Warsaw,RP,12,Unit,6
6-3,ul. Mazurska,Warsaw,RP,25,Unit,6
6-4,ul. Mazurska,Warsaw,RP,24,Unit,6
7-1,ul. Gałczynskiego,Warsaw,RP,42,Unit,7
7-2,ul. Gałczynskiego,Warsaw,RP,45,Unit,7
8-1,ulica Lawendowa,Warsaw,RP,856,Unit,8
8-2,ulica Lawendowa,Warsaw,RP,867,Unit,8
8-3,ulica Lawendowa,Warsaw,RP,846,Unit,8
8-4,ulica Lawendowa,Warsaw,RP,843,Unit,8
9-1,ulica Nowa,Warsaw,RP,39,Unit,9
9-2,ulica Nowa,Warsaw,RP,17,Unit,9
9-3,ulica Nowa,Warsaw,RP,22,Unit,9
9-4,ulica Nowa,Warsaw,RP,20,Unit,9
10-1,ul. Srebrna,Warsaw,RP,17,Unit,10
10-2,ul. Srebrna,Warsaw,RP,19,Unit,10
10-3,ul. Srebrna,Warsaw,RP,5,Unit,10
11-1,ulica Orkana,Warsaw,RP,613,Unit,11
12-1,aleja Jesienna,Warsaw,RP,515,Unit,12
12-2,aleja Jesienna,Warsaw,RP,510,Unit,12
12-3,aleja Jesienna,Warsaw,RP,500,Unit,12
13-1,ulica Przechodnia,Warsaw,RP,6,Unit,13
13-2,ulica Przechodnia,Warsaw,RP,0,Unit,13
14-1,ulica Podwale,Warsaw,RP,44,Unit,14
14-2,ulica Podwale,Warsaw,RP,32,Unit,14
15-1,pl. Miarki,Warsaw,RP,18,Unit,15
15-2,pl. Miarki,Warsaw,RP,28,Unit,15
15-3,pl. Miarki,Warsaw,RP,49,Unit,15
15-4,pl. Miarki,Warsaw,RP,42,Unit,15
16-1,plac Słowianska,Warsaw,RP,919,Unit,16
16-2,plac Słowianska,Warsaw,RP,913,Unit,16
16-3,plac Słowianska,Warsaw,RP,929,Unit,16
16-4,plac Słowianska,Warsaw,RP,945,Unit,16
17-1,plac Wybickiego,Warsaw,RP,46,Unit,17
17-2,plac Wybickiego,Warsaw,RP,29,Unit,17
18-1,ulica Leszczynowa,Warsaw,RP,113,Unit,18
18-2,ulica Leszczynowa,Warsaw,RP,91,Unit,18
19-1,plac Górska,Warsaw,RP,62,Unit,19
19-2,plac Górska,Warsaw,RP,96,Unit,19
20-1,al. Mostowa,Warsaw,RP,33,Unit,20
20-2,al. Mostowa,Warsaw,RP,38,Unit,20
20-3,al. Mostowa,Warsaw,RP,37,Unit,20
21-1,ul. Storczykowa,Warsaw,RP,80,Unit,21
22-1,aleja Szewska,Warsaw,RP,98,Unit,22
22-2,aleja Szewska,Warsaw,RP,106,Unit,22
23-1,aleja Szczęśliwa,Warsaw,RP,209,Unit,23
23-2,aleja Szczęśliwa,Warsaw,RP,202,Unit,23
23-3,aleja Szczęśliwa,Warsaw,RP,218,Unit,23
23-4,aleja Szczęśliwa,Warsaw,RP,211,Unit,23
24-1,ul. Szczęśliwa,Warsaw,RP,11,Unit,24
25-1,plac Kwiatowa,Warsaw,RP,8,Unit,25
26-1,ul. Srebrna,Warsaw,RP,695,Unit,26
27-1,pl. Łąkowa,Warsaw,RP,837,Unit,27
27-2,pl. Łąkowa,Warsaw,RP,830,Unit,27
27-3,pl. Łąkowa,Warsaw,RP,843,Unit,27
28-1,aleja Piwna,Warsaw,RP,107,Unit,28
28-2,aleja Piwna,Warsaw,RP,86,Unit,28
29-1,ulica Piekarska,Warsaw,RP,73,Unit,29
30-1,ul. Makowa,Warsaw,RP,20,Unit,30
30-2,ul. Makowa,Warsaw,RP,24,Unit,30
30-3,ul. Makowa,Warsaw,RP,35,Unit,30
30-4,ul. Makowa,Warsaw,RP,15,Unit,30
31-1,pl. Pałacowa,Warsaw,RP,603,Unit,31
31-2,pl. Pałacowa,Warsaw,RP,566,Unit,31
31-3,pl. Pałacowa,Warsaw,RP,582,Unit,31
32-1,ulica Partyzantów,Warsaw,RP,979,Unit,32
33-1,plac Wyzwolenia,Warsaw,RP,21,Unit,33
33-2,plac Wyzwolenia,Warsaw,RP,14,Unit,33
34-1,plac Średnia,Warsaw,RP,900,Unit,34
34-2,plac Średnia,Warsaw,RP,911,Unit,34
34-3,plac Średnia,Warsaw,RP,889,Unit,34
34-4,plac Średnia,Warsaw,RP,880,Unit,34
35-1,pl. Zdrojowa,Warsaw,RP,34,Unit,35
36-1,ulica Narcyzowa,Warsaw,RP,80,Unit,36
36-2,ulica Narcyzowa,Warsaw,RP,57,Unit,36
36-3,ulica Narcyzowa,Warsaw,RP,47,Unit,36
36-4,ulica Narcyzowa,Warsaw,RP,77,Unit,36
37-1,aleja Stroma,Warsaw,RP,4,Unit,37
37-2,aleja Stroma,Warsaw,RP,4,Unit,37
